incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.31000458E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,11/25/2013 08:00:00 AM +0000,22:15,BAYVIEW,"ARREST, CITED",3RD ST / GALVEZ AV,-122.38847839624,37.741109286458,"(37.741109286458, -122.38847839624)",21831
1.31012497E8,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Saturday,11/30/2013 08:00:00 AM +0000,18:35,SOUTHERN,NONE,100 Block of 4TH ST,-122.403588445424,37.7840976268153,"(37.7840976268153, -122.403588445424)",20231
1.31088313E8,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,12/27/2013 08:00:00 AM +0000,22:30,MISSION,NONE,1600 Block of BRYANT ST,-122.410514535154,37.7663212083214,"(37.7663212083214, -122.410514535154)",12157
1.40086372E8,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Tuesday,01/28/2014 08:00:00 AM +0000,16:05,CENTRAL,JUVENILE BOOKED,0 Block of SPOFFORD LN,-122.407276029172,37.7946816128374,"(37.7946816128374, -122.407276029172)",1104
1.31014722E8,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,12/01/2013 08:00:00 AM +0000,15:55,MISSION,"ARREST, BOOKED",2900 Block of 24TH ST,-122.411222088534,37.7527795038869,"(37.7527795038869, -122.411222088534)",19749
1.4010859E8,NON-CRIMINAL,LOCATED PROPERTY,Monday,01/06/2014 08:00:00 AM +0000,10:59,MISSION,NONE,2000 Block of MARKET ST,-122.426893114012,37.7691618401946,"(37.7691618401946, -122.426893114012)",8600
1.36224863E8,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,11/27/2013 08:00:00 AM +0000,04:09,CENTRAL,NONE,600 Block of PINE ST,-122.406598365563,37.7912791102144,"(37.7912791102144, -122.406598365563)",21187
1.36243813E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,12/28/2013 08:00:00 AM +0000,18:00,PARK,NONE,DUBOCE AV / CASTRO ST,-122.435797048864,37.7690578711759,"(37.7690578711759, -122.435797048864)",11606
1.40085647E8,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Friday,01/24/2014 08:00:00 AM +0000,03:33,TARAVAL,NONE,1200 Block of OCEAN AV,-122.455140908454,37.7237077694871,"(37.7237077694871, -122.455140908454)",2632
1.3100102E8,ASSAULT,BATTERY,Tuesday,11/26/2013 08:00:00 AM +0000,07:45,TARAVAL,NONE,0 Block of MAJESTIC AV,-122.451452749966,37.7177025438588,"(37.7177025438588, -122.451452749966)",21283
1.30963235E8,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,11/13/2013 08:00:00 AM +0000,14:30,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.432914603494,37.7843533426568,"(37.7843533426568, -122.432914603494)",25973
1.31054988E8,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,12/16/2013 08:00:00 AM +0000,03:26,MISSION,NONE,1800 Block of MISSION ST,-122.419869539409,37.767553474367,"(37.767553474367, -122.419869539409)",15016
1.30977452E8,NON-CRIMINAL,LOST PROPERTY,Monday,11/18/2013 08:00:00 AM +0000,10:00,NORTHERN,NONE,MARKET ST / CHURCH ST,-122.428950032727,37.7675027326801,"(37.7675027326801, -122.428950032727)",24179
1.4005881E8,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,01/20/2014 08:00:00 AM +0000,19:15,PARK,NONE,0 Block of TWINPEAKS BL,-122.446738874805,37.7603796796191,"(37.7603796796191, -122.446738874805)",3910
